combination,feedback_text
ㅛ_ㅐ,"'ㅐ'를 발음할 때 입을 새끼손가락 두 개만큼 벌리고, 혀를 아랫니 뒤에 두세요. 'ㅛ'과 다르게 천천히 발음해 보세요!"
ㅛ_ㅏ,"'ㅏ'를 발음할 때는 입을 더 벌리고 혀를 낮게 내려주세요. 'ㅛ'과 다르게 발음됩니다!"
ㅛ_ㅓ,"'ㅓ'는 'ㅛ'과 달라요. 입을 조금 더 벌리고 'ㅓ'만 발음해 보세요!"
ㅛ_ㅗ,"'ㅗ'는 'ㅛ'과 달리 입을 작게 벌리고 혀를 낮춰 발음해 보세요!"
ㅛ_ㅜ,"'ㅜ'는 입을 조금만 벌리고 입술을 둥글게 해보세요. 'ㅛ'처럼 '이오'를 연결하지 않고 발음해 보세요!"
ㅛ_ㅡ,"'ㅡ'를 발음할 때는 입을 살짝만 벌리고 혀를 편안하게 해보세요. 'ㅛ'처럼 소리를 이어서 내지 않고 시도해 보세요!"
ㅛ_ㅑ,"'ㅑ'는 '아' 소리와 가까워요. 입을 더 벌리고 '아'를 자연스럽게 발음해 보세요!"
ㅛ_ㅕ,"'ㅕ'는 '이어'로 발음하고, 'ㅛ'는 '이오'로 발음해요. 입을 조금 더 열고 혀를 낮춰 다시 발음해 보세요!"
ㅛ_ㅠ,"'ㅠ'는 '이우'이고 'ㅛ'는 '이오'예요. 입을 더 벌리고 '오' 소리를 내보세요!"
ㅛ_ㅒ,"'ㅒ'를 발음할 때는 '이애'처럼 말해 주세요. 'ㅛ'과 다릅니다!"
ㅛ_ㅖ,"'ㅖ'는 '에' 소리로 발음해 보세요. 'ㅛ' 대신 '에'를 사용하면 더 정확해요!"
ㅛ_ㅘ,"'ㅘ'는 '우아'처럼 발음해 주세요. 입을 더 벌리고 '우' 소리를 먼저 내보세요!"
ㅛ_ㅝ,"'ㅝ'는 '우어'로 발음해요. 입을 더 둥글게 하고 '우' 소리를 먼저 내보세요!"
ㅛ_ㅙ,"'ㅙ'는 '우'와 '에' 소리를 이어서 발음해 보세요. 'ㅛ'처럼 말하지 말고, 먼저 '우' 소리를 내보세요!"
ㅛ_ㅞ,"'ㅞ'는 '우에'를 연이어 부드럽게 발음해 보세요!"
ㅛ_ㅚ,"'ㅚ'는 '우에'처럼 발음해 보세요. 먼저 '우' 소리를 짧고 약하게 내고, 자연스럽게 '에'로 이어지게 해보세요!"
ㅛ_ㅟ,"'ㅟ'를 발음할 때는 '우' 소리를 짧게 내고 '이'로 이어보세요!"
ㅛ_ㅢ,"'ㅢ'를 발음할 때는 입을 '으' 모양으로 유지하고 혀를 '으'에서 '이'로 빠르게 옮겨 보세요!"
ㅠ_ㅣ,"'ㅠ'는 '이우'를 연이어 발음해요. 'ㅣ'는 입을 옆으로 길게 벌리고 혀를 입천장 쪽으로 올려 발음해 보세요!"
ㅠ_ㅔ,"'ㅔ'는 'ㅠ'보다 입을 덜 벌리고 혀를 더 낮게 발음해 보세요!"
ㅠ_ㅐ,"입을 새끼손가락 두 개만큼 벌리고 혀를 아랫니 뒤에 두세요. 다시 발음해 보세요!"
ㅠ_ㅏ,"'ㅏ'를 발음할 때 입을 세 개만큼 벌리고 혀를 낮춰주세요. 'ㅠ'처럼 빠르게 발음하지 않도록 해보세요!"
ㅠ_ㅓ,'ㅠ'와 달리 'ㅓ'는 입을 더 벌리고 혀를 낮춰 부드럽게 발음해 보세요!
ㅠ_ㅗ,'ㅠ'는 '이우'를 연이어 발음해요. 'ㅗ'는 입을 동그랗게 벌리고 혀를 낮춰서 다시 발음해 보세요!
ㅠ_ㅜ,'ㅠ'는 '이우'를 빠르게 발음해요. 'ㅜ'를 할 때는 입을 조금만 벌리고 입술을 동그랗게 해보세요!
ㅠ_ㅡ,'ㅡ'는 입을 조금만 벌리고 혀와 입술을 편안하게 해주세요. 'ㅠ' 소리가 나지 않도록 발음해 보세요!
ㅠ_ㅑ,'ㅑ'는 'ㅠ'와 달리 '아' 소리를 사용해요. 입을 더 벌리고 다시 발음해 보세요!
ㅠ_ㅕ,"'ㅕ'는 '어' 소리를 사용하고, 'ㅠ'는 '우' 소리예요. 다시 발음해 보세요!"
ㅠ_ㅛ,"'ㅠ'는 '이우'이고 'ㅛ'는 '이오'예요. 입을 더 벌리고 '오' 소리를 내보세요!"
ㅠ_ㅒ,"'ㅒ'는 '이애'를, 'ㅠ'는 '이우'를 이어서 발음해 보세요!"
ㅠ_ㅖ,"'ㅖ'는 '에' 소리에 짧은 '이'를 붙인 소리예요. 'ㅠ' 대신 'ㅖ'처럼 '에'로 끝나게 천천히 발음해 보세요!"
ㅠ_ㅘ,"'ㅘ'를 발음할 때는 입을 더 벌리고 '우아'처럼 말해 보세요!"
ㅠ_ㅝ,"'ㅝ'은 '우'에서 '어'로 발음해 보세요. 반면 'ㅠ'는 '이'에서 시작해요. 천천히 연습해 보세요!"
ㅠ_ㅙ,"'ㅙ'는 '우' 다음에 '에'를 이어서 발음해 보세요. 입을 조금 더 벌리고 천천히 연습해 주세요!"
ㅠ_ㅞ,"'ㅞ'를 발음할 때는 '우'에서 '에'로 자연스럽게 이어서 말해 보세요. 'ㅠ'처럼 단순히 발음하지 않고 연결해 주세요!"
ㅠ_ㅚ,"'ㅚ'는 '우에'를 이어서 발음하고, 'ㅠ'는 '이우'입니다. 입을 더 벌리고 '우에'로 발음해 보세요!"
ㅠ_ㅟ,"'ㅟ'를 발음할 때는 '우' 소리를 아주 짧게 하고 바로 '이'로 이어서 발음해 보세요!"
ㅠ_ㅢ,"'ㅢ'를 발음할 때는 입술을 '으' 모양으로 유지하고, 혀를 '으'에서 '이'로 빠르게 움직여 보세요!"
ㅒ_ㅣ,"'ㅒ'처럼 발음하지 말고, 'ㅣ'는 입을 옆으로 길게 벌리고 혀를 입천장에 올려 발음해 보세요!"
ㅒ_ㅔ,"'ㅔ'는 'ㅒ'처럼 빠르게 연결하지 말고, 입을 조금 더 벌리고 혀를 낮춰 발음해 보세요!"
ㅒ_ㅐ,"'ㅐ'는 'ㅒ'처럼 두 소리로 끊지 말고, 입을 새끼손가락 두 개 정도 벌려 발음해 보세요!"
ㅒ_ㅏ,"'ㅒ'는 '이애'를 빠르게 이어서 발음해요. 'ㅏ'를 발음할 때는 입을 세 손가락만큼 벌리고 혀를 낮춰 보세요!"
ㅒ_ㅓ,'ㅓ'는 입을 두 손가락 너비로 벌리고 편하게 발음해 보세요. 'ㅒ'처럼 이어서 빠르게 발음하지 않도록 해주세요!
ㅒ_ㅗ,"'ㅒ'는 빠르게 '이애'처럼 발음하지만, 'ㅗ'는 입을 동그랗게 만들고 혀를 아래로 내려보세요!"
ㅒ_ㅜ,"'ㅜ'는 입을 조금만 벌리고 입술을 동그랗게 만들어 발음해 보세요!"
ㅒ_ㅡ,"'ㅡ'를 발음할 때는 입을 조금만 벌리고 혀를 편안하게 유지하세요. 'ㅒ'와는 다르게 발음해 보세요!"
ㅒ_ㅑ,"'ㅑ'는 '이아'처럼 이어서 발음해 주세요. '애' 소리 대신 '아' 소리를 사용해 보세요!"
ㅒ_ㅕ,"'ㅕ'를 발음할 때 '이'와 '어'를 자연스럽게 이어서 말해 보세요!"
ㅒ_ㅛ,"'ㅛ'은 '이오'이고 'ㅒ'은 '이애'예요. 입을 더 동그랗게 하고 '오' 소리를 내보세요!"
ㅒ_ㅠ,"'ㅠ'는 '이우'로 발음하고, 'ㅒ'는 '이애'로 발음해요. '우' 소리를 연습해 보세요!"
ㅒ_ㅖ,"'ㅖ'는 '이에'처럼 '이'와 '에'를 빠르게 이어서 발음해 보세요!"
ㅒ_ㅘ,"'ㅘ'를 발음할 때는 '우아'처럼 '우' 소리로 시작해 보세요. 지금은 '이애'처럼 들렸어요!"
ㅒ_ㅝ,"'ㅝ'는 '우어'로 발음해 주세요. 'ㅒ'와는 다르게 입을 조금 더 둥글게 하고 시도해 보세요!"
ㅒ_ㅙ,"'ㅙ'은 '우에'처럼 발음하세요. 'ㅒ'과 달리 '우' 소리를 사용해 주세요!"
ㅒ_ㅞ,'ㅞ'는 '우'와 '에'를 이어서 발음해요. 입을 약간 더 둥글게 하고 '우에' 소리를 내보세요!
ㅒ_ㅚ,"'ㅚ'는 '우에'처럼 발음하고, 'ㅒ'는 '이애'처럼 발음해 보세요. 다시 한번 시도해 보세요!"
ㅒ_ㅟ,"'ㅒ'과 'ㅟ'는 다르게 발음해요. 'ㅟ'는 '우'를 짧게 하고 '이'를 붙여 발음해 보세요!"
ㅒ_ㅢ,"'ㅢ'를 발음할 때는 입을 '으' 모양으로 유지하고, 혀를 빠르게 '으'에서 '이'로 옮겨보세요!"
ㅖ_ㅣ,"'ㅣ'를 정확하게 발음하려면 입을 옆으로 길게 벌리고 혀를 입천장 쪽으로 올려보세요!"
ㅖ_ㅔ,"'ㅔ'를 'ㅖ'처럼 발음하지 말고, 입을 더 벌리고 혀를 낮게 해 보세요!"
ㅖ_ㅐ,"'ㅐ'를 올바르게 발음하려면, 입을 새끼손가락 두 개 만큼 벌리고 혀를 아랫니 뒤에 두어 보세요!"
ㅖ_ㅏ,"'ㅏ'는 입을 새끼손가락 세 개만큼 벌리고 혀를 최대한 내리세요. 'ㅖ'처럼 '이에'를 붙이지 않고 발음해 보세요!"
ㅖ_ㅓ,"'ㅓ'를 발음할 때는 입을 두 손가락만큼 벌리고, 'ㅖ'처럼 연결하지 말고 천천히 말해보세요!"
ㅖ_ㅗ,"'ㅗ'를 발음할 때는 입을 동그랗게 하고 혀를 낮게 유지해 주세요. 'ㅖ'와 혼동하지 않도록 발음해 보세요!"
ㅖ_ㅜ,"'ㅜ'를 발음할 때는 입을 동그랗게 하고 조금만 벌려주세요. 천천히 다시 해볼까요!"
ㅖ_ㅡ,"'ㅖ'와 달리 'ㅡ'는 입을 조금만 벌리고 혀를 편안하게 해보세요!"
ㅖ_ㅑ,"'ㅖ' 대신 'ㅑ'를 발음하려면 입을 더 벌리고 아 소리를 내보세요!"
ㅖ_ㅕ,"'ㅕ'는 '어'와 '이'를 부드럽게 이어서 발음해 보세요. 입을 조금 더 열고 혀를 약간 낮춰 다시 시도해 보세요!"
ㅖ_ㅛ,"'ㅛ'는 '오' 소리를 사용해 보세요. 'ㅖ'와 다르게 발음해 주세요!"
ㅖ_ㅠ,"'ㅠ'를 발음할 때는 '이우'를 부드럽게 이어서 말해보세요. 입을 더 벌리고 다시 시도해 보세요!"
ㅖ_ㅒ,"'ㅒ'을 발음할 때 '애' 소리가 나도록 입을 더 벌리고 다시 시도해 보세요!"
ㅖ_ㅘ,"'ㅘ'는 '우아'처럼 발음해 보세요. 입을 조금 더 벌리고 '우' 소리를 먼저 내주세요!"
ㅖ_ㅝ,"'ㅝ'는 '우'와 '어'를 합쳐서 발음해요. 'ㅖ' 대신 '우' 소리를 먼저 내보세요!"
ㅖ_ㅙ,"'ㅙ'를 발음할 때는 '우에'처럼 이어서 발음해 보세요. 입을 더 둥글게 하고 먼저 '우' 소리를 내보세요!"
ㅖ_ㅞ,"'ㅞ'는 '우' 소리로 시작해요. '우에'를 자연스럽게 이어서 발음해 보세요!"
ㅖ_ㅚ,"'ㅚ'는 '우에'처럼 발음해요! '우' 소리를 먼저 내고 이어서 '에'를 발음해 보세요!"
ㅖ_ㅟ,"'ㅟ'는 '우'와 '이'를 빠르게 이어서 발음해 보세요! '우' 소리를 짧게 하고 '이'에 자연스럽게 연결해 주세요!"
ㅖ_ㅢ,"'ㅢ'를 발음할 때는 입을 '으' 모양으로 유지하고, 혀를 '으'에서 '이'로 빠르게 옮겨보세요!"
ㅘ_ㅣ,"'ㅘ'는 두 소리를 이어서 발음해요! 'ㅣ'는 입을 옆으로 길게 벌리고 혀를 입천장에 가까이 올려 발음해 보세요!"
ㅘ_ㅔ,"'ㅘ'는 '우아'처럼 발음해요! 'ㅔ'는 입을 새끼손가락 하나만큼 벌리고 혀를 낮게 해보세요!"
ㅘ_ㅐ,"'ㅐ'는 입을 새끼손가락 두 개만큼 벌리고, 혀를 아랫니 뒤에 두어 발음해 보세요!"
ㅘ_ㅏ,"'ㅘ'가 아니라 'ㅏ'를 발음하려면 '우' 소리를 빼고 입을 세 개 벌리고 혀를 내리세요!"
ㅘ_ㅓ,"'ㅓ'를 발음할 때는 입을 새끼손가락 두 개만큼 벌리고, 입술과 혀를 편안하게 해주세요! 다시 한번 시도해 보세요!"
ㅘ_ㅗ,"'ㅘ' 대신 'ㅗ'를 발음하려면 입을 새끼손가락만큼 벌리고 입술을 동그랗게 만들어 보세요!"
ㅘ_ㅜ,"'ㅘ'는 두 소리를 이어서 발음해요! 'ㅜ'를 할 때는 입을 조금만 벌리고 입술을 둥글게 해보세요!"
ㅘ_ㅡ,"'ㅡ'를 발음할 때는 입을 살짝만 벌리고 혀를 편안하게 해보세요!"
ㅘ_ㅑ,"'ㅑ'를 '이아'처럼 연이어 발음해 보세요! 'ㅘ'와 다르게 '이' 소리를 먼저 내는 것이 중요해요!"
ㅘ_ㅕ,"'ㅘ' 대신 'ㅕ'를 발음할 때는 입을 덜 벌리고 혀를 살짝 올려보세요!"
ㅘ_ㅛ,"'ㅛ'는 '이오'처럼 빠르게 이어서 발음해 보세요! 입을 더 벌리고 혀를 약간 낮추면 좋아요!"
ㅘ_ㅠ,"'ㅠ'는 '이우'처럼 발음해 주세요! 'ㅘ'처럼 '우아' 소리가 나지 않도록 해보세요!"
ㅘ_ㅒ,"'ㅒ'는 '이애'처럼 빠르게 이어서 발음해 보세요! 입을 조금 더 벌리고 시도해 보세요!"
ㅘ_ㅖ,"'ㅘ' 대신 'ㅖ'를 발음할 때는 입을 옆으로 더 벌리고 혀를 앞으로 움직여 보세요!"
ㅘ_ㅝ,"'ㅝ'는 '우'와 '어'를 자연스럽게 이어서 발음해 주세요!"
ㅘ_ㅙ,"'ㅙ'는 '우에'처럼 발음해 주세요! 'ㅘ'보다 '에' 소리에 더 가까이 해보세요!"
ㅘ_ㅞ,"'ㅘ'는 '우아'로, 'ㅞ'는 '우에'로 발음해 주세요! 입을 조금 더 벌리고 '에' 소리를 더 넣어 보세요!"
ㅘ_ㅚ,"'ㅚ'를 발음할 때 '우에'처럼 이어서 말해 주세요! 'ㅘ'와 다르게 '에' 소리를 사용해 보세요!"
ㅘ_ㅟ,"'ㅟ'를 발음할 때는 '우'와 '이'를 자연스럽고 짧게 이어서 말해 보세요! 지금은 'ㅘ'처럼 들리고 있어요!"
ㅘ_ㅢ,"'ㅘ'처럼 연결하지 말고, 'ㅢ'는 입술을 '으'로 유지하며 혀를 빠르게 '이'로 옮겨 발음해 보세요!"
ㅝ_ㅣ,"'ㅝ'는 '우어' 소리이지만, 'ㅣ'는 입을 옆으로 넓게 벌리고 혀를 입천장에 올려 발음해 보세요!"
ㅝ_ㅔ,"'ㅝ' 대신 'ㅔ'를 발음할 때는 입을 새끼손가락 하나만큼 벌리고 '우' 소리를 빼고 '어' 소리만 내보세요!"
ㅝ_ㅐ,"'ㅐ'는 입을 두 손가락 정도 벌리고 혀를 아랫니 뒤에 둡니다! 'ㅝ'와 달리 '우' 소리를 빼고 발음해 보세요!"
ㅝ_ㅏ,"입을 더 벌리고 혀를 낮춰 'ㅏ' 소리를 다시 내보세요!"
ㅝ_ㅓ,"'ㅓ'는 입을 두 손가락 정도 벌리고 편안하게 발음해 주세요! 'ㅝ'는 '우어'를 이어서 발음해요! 다시 시도해 보세요!"
ㅝ_ㅗ,"'ㅗ'는 입을 새끼손가락만큼 벌리고 입술을 동그랗게 해주세요! 이렇게 하면 'ㅝ'와 다르게 발음할 수 있어요!"
ㅝ_ㅜ,"'ㅜ'를 발음할 때는 입을 조금만 벌리고 동그랗게 만드세요! 'ㅝ'처럼 길게 발음하지 마세요!"
ㅝ_ㅡ,"'ㅝ'와 달리 'ㅡ'는 입을 조금만 벌리고, 입술과 혀를 편안하게 유지해 보세요!"
ㅝ_ㅑ,"'ㅑ'를 발음할 때는 먼저 '이' 소리를 내고 자연스럽게 '아'로 이어서 말해 보세요!"
ㅝ_ㅕ,"'ㅝ' 대신 'ㅕ'는 '이어'처럼 발음해 보세요! 입을 더 벌리고 혀를 살짝 올려주세요!"
ㅝ_ㅛ,"'ㅛ'는 '이오'처럼 빠르게 이어서 발음해 보세요! 'ㅝ'과 달리 '이' 소리를 먼저 내주세요!"
ㅝ_ㅠ,"'ㅠ'를 발음할 때는 '이우'를 빠르고 부드럽게 발음해 주세요! 'ㅝ'와 다르게 소리를 이어 보세요!"
ㅝ_ㅒ,"'ㅒ'은 '이애'처럼, 'ㅝ'는 '우어'처럼 발음해요! 'ㅒ'을 발음할 때는 입을 조금 더 작게 벌리고 혀를 높게 올려 보세요!"
ㅝ_ㅖ,"'ㅝ'는 '우어'이고, 'ㅖ'는 '이에'예요! 'ㅖ'를 '이에'처럼 발음해 보세요!"
ㅝ_ㅘ,"'ㅘ'는 '우아'처럼, 'ㅝ'는 '우어'로 발음해요! 'ㅘ'을 말할 때 '아' 소리에 더 신경 써 보세요!"
ㅝ_ㅙ,"'ㅙ'와 'ㅝ'는 두 번째 소리가 달라요! 'ㅙ'는 '에' 소리를 내보세요!"
ㅝ_ㅞ,"'ㅞ'를 발음할 때는 '우에' 소리를 사용해 주세요! 'ㅝ'보다 두 번째 소리를 '에'로 발음해 보세요!"
ㅝ_ㅚ,"'ㅚ'는 '우에'처럼 부드럽게 이어서 발음해 보세요! 'ㅝ'과 끝 소리가 달라요!"
ㅝ_ㅟ,"'ㅟ'는 '우'와 '이'를 자연스럽게 이어서 발음해 보세요! 'ㅝ'처럼 끊지 않고 다시 시도해 보세요!"
ㅝ_ㅢ,"'ㅢ'를 발음할 때 입을 '으' 모양으로 유지하고, 혀를 빠르게 '이'로 움직여 보세요!"
ㅙ_ㅣ,"'ㅙ'는 '우에'처럼 발음하고, 'ㅣ'는 입을 옆으로 길게 벌리고 혀를 올려주세요! 다시 한번 시도해 보세요!"
ㅙ_ㅔ,"'ㅔ'는 'ㅙ'처럼 두 소리가 아니에요! 입을 작게 벌리고 혀를 낮춰서 다시 발음해 보세요!"
ㅙ_ㅐ,"'ㅙ'는 '우에'처럼 이어서 발음해요! 'ㅐ'를 발음할 때는 입을 두 손가락만큼 벌리고 혀를 아랫니 뒤에 두세요!"
ㅙ_ㅏ,"'ㅙ'는 '우에'처럼 발음되지만, 'ㅏ'는 입을 더 크게 벌리고 혀를 낮게 내려 주세요! 다시 발음해 보세요!"
ㅙ_ㅓ,"'ㅓ'는 입을 새끼손가락 두 개만큼 벌리고 혀를 편하게 두세요! 'ㅙ'처럼 연결하지 말고 단독으로 발음해 보세요!"
ㅙ_ㅗ,"'ㅗ'와 'ㅙ'는 발음이 달라요! 'ㅗ'는 입을 새끼손가락만큼 벌리고, 동그랗게 만들어 보세요! 다시 한번 시도해 보세요!"
ㅙ_ㅜ,"'ㅙ'는 '우에' 소리예요! 'ㅜ'를 발음할 때는 입을 조금만 벌리고 혀를 낮춰 단일 소리로 말해 보세요!"
ㅙ_ㅡ,"'ㅡ'는 'ㅙ'처럼 이어서 발음하지 말고, 입을 조금만 벌리고 편안하게 발음해 보세요!"
ㅙ_ㅑ,"'ㅑ'는 '이아'처럼 빠르고 자연스럽게 이어서 발음해 보세요!"
ㅙ_ㅕ,"'ㅕ'을 '이어'처럼 발음하고, 'ㅙ'의 '우' 소리는 빼보세요!"
ㅙ_ㅛ,"'ㅛ'는 '이오'처럼 발음해 보세요! 입을 조금 더 작게 열고 혀를 약간 앞으로 내밀어 주세요!"
ㅙ_ㅠ,"'ㅠ'는 '이우'를 빠르게 이어서 발음해 보세요! 'ㅙ'처럼 '우에'를 사용하지 않도록 해요!"
ㅙ_ㅒ,"'ㅒ'는 'ㅙ'보다 앞쪽에서 발음해 주세요! 입을 더 앞으로 열고 연습해 보세요!"
ㅙ_ㅖ,"'ㅙ'는 '우에'로 발음되고, 'ㅖ'는 '이에'로 발음됩니다! 'ㅙ' 대신 입을 조금 더 작게 열고 '이' 소리를 부드럽게 이어서 발음해 보세요!"
ㅙ_ㅘ,"'ㅘ'는 '우아'처럼, 'ㅙ'는 '우에'처럼 발음해요. 입 모양을 바꿔서 다시 시도해 보세요!"
ㅙ_ㅝ,"'ㅝ'를 발음할 때는 '우어'를 자연스럽게 이어서 말해 보세요. 'ㅙ'과 달리 끝 소리가 '어'임을 기억해 주세요!"
ㅙ_ㅞ,"'ㅞ'를 발음할 때는 '우'와 '에'를 자연스럽게 이어서 말해 보세요. 입을 조금 더 벌리고 혀를 낮춰보세요!"
ㅙ_ㅚ,"'ㅚ'를 발음할 때 입을 조금 더 좁게 벌리고 혀를 중간에 위치시켜 보세요!"
ㅙ_ㅟ,"'ㅟ'는 '우이'로 발음해 주세요. 'ㅙ'보다 '이' 소리에 더 집중해 보세요!"
ㅙ_ㅢ,"'ㅢ'를 발음할 때는 입을 '으' 모양으로 유지하고 혀를 '이'로 빠르게 움직여서 'ㅙ'와 다르게 발음해 보세요!"
ㅞ_ㅣ,"'ㅣ'를 발음할 때는 입을 옆으로 길게 벌리고 혀를 높이 올려보세요. 'ㅞ'와 다르게 발음됩니다!"
ㅞ_ㅔ,"'ㅔ'는 'ㅞ'처럼 이어 말지 말고, 입을 조금 벌리고 혀를 낮춰 발음해 보세요!"
ㅞ_ㅐ,"'ㅐ'를 발음할 때는 입을 두 손가락만큼 벌리고 '우' 소리를 빼주세요. 다시 한번 해보세요!"
ㅞ_ㅏ,"'ㅞ' 대신 'ㅏ'를 발음하려면 입을 크게 벌리고 혀를 낮춰 보세요!"
ㅞ_ㅓ,"'ㅓ'는 'ㅞ'처럼 '우에'로 이어 말지 말고, 입을 두 손가락만큼 벌려 편안하게 발음해 보세요!"
ㅞ_ㅗ,"'ㅗ'는 입을 동그랗게 하고 혀를 낮춰 발음해 보세요. 'ㅞ'와 다르게 단일 소리로 말해 주세요!"
ㅞ_ㅜ,"'ㅜ'는 입을 조금만 벌리고 동그랗게 해보세요. 'ㅞ'와 다르게 발음해 주세요!"
ㅞ_ㅡ,"'ㅞ'처럼 '우에' 소리를 넣지 말고, 입을 조금만 벌려 'ㅡ'를 발음해 보세요!"
ㅞ_ㅑ,"'ㅑ'는 '이아'로 빠르게 이어서 발음하고, 'ㅞ'는 '우에'로 발음해요! 'ㅑ'을 연습할 때 '이아'를 연결해서 말해 보세요!"
ㅞ_ㅕ,"'ㅕ'는 '이어'로 발음해요! 입을 옆으로 더 열고 혀를 앞으로 움직여 보세요!"
ㅞ_ㅛ,"'ㅛ'를 발음할 때는 '이'를 짧고 약하게 하고 '오'로 빠르게 이어서 말해 보세요! 이렇게 하면 올바르게 발음할 수 있어요!"
ㅞ_ㅠ,"'ㅠ'를 발음할 때는 '이'와 '우' 소리를 빠르게 이어서 말해 주세요!"
ㅞ_ㅒ,"'ㅒ'를 발음할 때는 '이'와 '애'를 빠르게 이어 말해 주세요! 'ㅞ'와 달리 '이' 소리를 더 뚜렷하게 해보세요!"
ㅞ_ㅖ,"'ㅖ'는 '이에'처럼 발음해 보세요! 입을 조금 더 벌리고 '이' 소리를 먼저 내보세요!"
ㅞ_ㅘ,"'ㅘ'는 '우'와 '아'를 이어서 발음해요! 지금보다 입을 조금 더 벌리고 '아' 소리를 붙여보세요!"
ㅞ_ㅝ,"'ㅝ'를 발음할 때는 '어' 소리가 나도록 입을 조금 더 벌리고 혀를 낮춰 보세요!"
ㅞ_ㅙ,"'ㅙ'는 'ㅞ'보다 '에' 소리가 더 뚜렷해요! 입을 조금 더 벌리고 다시 발음해 보세요!"
ㅞ_ㅚ,"'ㅚ'를 발음할 때 입을 조금 더 벌리고 혀를 낮춰보세요!"
ㅞ_ㅟ,"'ㅟ'는 '우' 소리를 짧게 하고 '이'와 자연스럽게 이어서 발음해 보세요!"
ㅞ_ㅢ,"'ㅢ'는 'ㅞ'와 달리 입술을 'ㅡ'로 유지하고, 혀를 '으'에서 '이'로 빠르게 움직여 발음해 보세요!"
ㅚ_ㅣ,"'ㅚ'는 '우에'처럼 발음하고, 'ㅣ'는 입을 옆으로 넓게 벌리고 혀를 입천장 가까이 올려 발음해 보세요!"
ㅚ_ㅔ,"'ㅔ'는 입을 작게 벌리고 혀를 낮게 해보세요! 'ㅚ'와 다르게 발음할 수 있을 거예요!"
ㅚ_ㅐ,"'ㅐ'를 발음할 때는 입을 두 손가락만큼 벌리고, 혀를 아랫니 뒤에 두세요! 'ㅚ'처럼 이어서 발음하지 않도록 해보세요!"
ㅚ_ㅏ,"'ㅚ' 대신 'ㅏ'를 발음하려면 입을 더 벌리고 혀를 내려보세요!"
ㅚ_ㅓ,"'ㅓ'를 'ㅚ'처럼 이어서 발음하지 말고, 입을 두 손가락만큼 벌리고 편안하게 발음해 보세요!"
ㅚ_ㅗ,"'ㅚ'는 '우에'처럼 이어서 발음하지만, 'ㅗ'는 입을 새끼손가락만큼 벌리고 동그랗게 해보세요!"
ㅚ_ㅜ,"'ㅜ'는 'ㅚ'보다 입을 더 둥글게 하고 혀를 낮춰 발음해 보세요!"
ㅚ_ㅡ,"'ㅡ'를 발음할 땐 입을 조금만 벌리고 혀와 입술을 편안하게 해보세요! 'ㅚ'처럼 두 소리를 연결하지 않도록 해주세요!"
ㅚ_ㅑ,"'ㅑ'는 'ㅚ'와 달리 '이아'를 부드럽게 이어서 발음해 보세요!"
ㅚ_ㅕ,"'ㅕ'는 '이어'처럼 발음해 주세요! 입을 조금 더 벌리고 혀를 낮춰 보세요!"
ㅚ_ㅛ,"'ㅛ'를 발음할 때는 '이'와 '오'를 빠르게 이어서 말해 보세요!"
ㅚ_ㅠ,"'ㅠ'는 '이우'처럼 발음해 보세요! 입을 더 벌리고 혀를 낮춰 주세요!"
ㅚ_ㅒ,"'ㅒ'는 '이애'처럼 발음해주세요! 'ㅚ' 대신 '이' 소리로 시작해 보세요!"
ㅚ_ㅖ,"'ㅖ'는 '이에'를 부드럽게 이어서 발음해 보세요! 'ㅚ'과는 다르게 '이' 소리로 시작해요!"
ㅚ_ㅘ,"'ㅘ'를 발음할 때는 '우' 다음에 '아' 소리를 붙여주세요! 입을 조금 더 열어 '아'를 더 크게 내보세요!"
ㅚ_ㅝ,"'ㅝ'를 발음할 때는 'ㅚ'와 달리 끝소리를 '어'로 해보세요! 입을 더 벌리고 천천히 발음해 보세요!"
ㅚ_ㅙ,"'ㅙ'를 발음할 때는 입을 더 벌리고 혀를 약간 낮춰 보세요!"
ㅚ_ㅞ,"'ㅞ'를 발음할 때 '우'와 '에' 소리를 자연스럽게 이어서 말해 보세요!"
ㅚ_ㅟ,"'ㅟ'를 발음할 때 '우'를 아주 짧게 하고 '이'로 끝내 보세요!"
ㅚ_ㅢ,"'ㅢ'는 '으'에서 '이'로 빠르게 바꿔 발음하고, 'ㅚ'는 '우에'를 이어서 발음해요! 다시 연습해 보세요!"
ㅟ_ㅣ,"'ㅣ'는 입을 옆으로 벌리고 혀를 입천장에 가까이 대세요! 'ㅟ'보다 짧게 발음해 보세요!"
ㅟ_ㅔ,"'ㅔ'를 발음할 때는 'ㅟ'처럼 이어서 말지 말고, 입을 더 벌리고 혀를 낮춰 보세요!"
ㅟ_ㅐ,"'ㅐ'를 발음할 때 입을 조금 더 벌리고 혀를 아랫니 뒤에 위치시켜 보세요!"
ㅟ_ㅏ,"'ㅏ'를 발음할 때 입을 세 개만큼 벌리고 혀를 낮춰보세요! 'ㅟ'처럼 '우' 소리를 내지 않도록 해요!"
ㅟ_ㅓ,"'ㅓ'를 발음할 때는 'ㅟ'처럼 '우이' 소리를 내지 말고, 입을 두 손가락 만큼 벌리고 편안하게 발음해 보세요!"
ㅟ_ㅗ,"'ㅗ'를 발음할 때 입을 동그랗고 짧게 해보세요! 'ㅟ'처럼 이어지지 않게 해주세요!"
